p_s p_d d S D I K1 K2 k S_k_half S_norm D_norm, I_norm
0.01 0.03 0.02 558 1795 1310 9980 9914 21 618 0.002662467792728314 0.008564748544708465 0.00656312625250501
0.01 0.03 0.02 670 1865 1095 9980 9896 21 606 0.003196869930336864 0.008898749880713808 0.005485971943887775
0.01 0.03 0.02 534 1975 1135 9980 9848 21 499 0.002547953048955053 0.009423609123007921 0.005686372745490982
0.01 0.03 0.02 682 1782 1305 9980 9929 21 646 0.003254127302223495 0.008502719725164615 0.006538076152304609
0.01 0.03 0.02 637 1926 1137 9980 9881 21 580 0.0030394121576486307 0.00918980818780418 0.005696392785571143
0.01 0.03 0.02 505 2093 977 9980 9839 21 496 0.002409581066895696 0.009986639946559786 0.004894789579158317
0.01 0.03 0.02 691 1632 1356 9980 9926 21 628 0.0032970703311384674 0.007787002576581735 0.006793587174348697
0.01 0.03 0.02 552 2039 1393 9980 9882 21 505 0.0026338391067849986 0.00972898177306995 0.006978957915831663
0.01 0.03 0.02 467 2221 1063 9980 9879 21 511 0.0022282660559213665 0.010597385246683844 0.005325651302605211
0.01 0.03 0.02 722 1868 1075 9980 9890 21 686 0.003444985208512263 0.008913064223685466 0.0053857715430861725
0.01 0.03 0.02 651 1908 1261 9980 9915 21 596 0.0031062124248496994 0.009103922129974235 0.006317635270541082
0.01 0.03 0.02 540 2020 1022 9980 9859 21 554 0.002576581734898368 0.009638324267582784 0.005120240480961924
0.01 0.03 0.02 691 1502 1183 9980 9912 21 687 0.0032970703311384674 0.007166714381143239 0.00592685370741483
0.01 0.03 0.02 486 1921 1214 9980 9867 21 469 0.0023189235614085313 0.009165950949518083 0.006082164328657315
0.01 0.03 0.02 509 1634 1381 9980 9902 21 505 0.002428666857524573 0.007796545471896173 0.006918837675350701
0.01 0.03 0.02 603 1638 1178 9980 9885 21 577 0.0028771829373031776 0.00781563126252505 0.005901803607214429
0.01 0.03 0.02 676 2319 956 9980 9849 21 596 0.0032254986162801795 0.011064987117091326 0.004789579158316634
